Manufacturer,Brand,Model Name / Number,Type of Laptop,Screen Size (inches),Screen Type,CPU,RAM,Storage,GPU,Operating System,OS Version,Weight (kg),Price (INR),Rating,Persona Role
Lenovo,Inspiron,Inspiron-1561,Student,16.0,Retina,Ryzen 7,8GB,256GB SSD,Integrated,Linux,Ubuntu 22.04,1.8,77575,4.3,Office
Apple,Inspiron,Inspiron-3960,Gaming,13.3,QHD OLED,Ryzen 7,16GB,1TB SSD,NVIDIA RTX 3050,Windows,11,1.8,119834,4.0,Student
Dell,MacBook,MacBook-5331,Developer,13.3,FHD TN,Intel i5,16GB,512GB SSD,NVIDIA RTX 3050,Linux,Ubuntu 22.04,1.8,122746,4.6,Developer
Apple,ROG,ROG-4787,Office,16.0,FHD IPS,Apple M2,16GB,256GB SSD,NVIDIA RTX 3050,Linux,Ubuntu 22.04,1.2,109215,3.9,Developer
HP,ThinkPad,ThinkPad-4103,Developer,14.0,FHD IPS,Apple M2,32GB,1TB SSD,NVIDIA RTX 3050,macOS,11,2.0,121090,4.9,Gaming
HP,Inspiron,Inspiron-3819,Office,15.6,FHD IPS,Ryzen 7,32GB,1TB SSD,NVIDIA RTX 4060,Linux,Ventura,1.4,98777,4.9,Developer
Asus,Inspiron,Inspiron-6283,Business,14.0,FHD IPS,Intel i7,8GB,1TB SSD,Integrated,macOS,12,1.6,102416,4.1,Office
Lenovo,Pavilion,Pavilion-7215,Business,14.0,Retina,Apple M2,32GB,512GB SSD,NVIDIA RTX 3050,macOS,Ubuntu 22.04,1.2,105412,4.8,Business
Apple,ROG,ROG-5075,Business,14.0,Retina,Intel i7,8GB,1TB SSD,NVIDIA RTX 3050,Linux,11,1.6,113543,4.3,Business
Lenovo,ROG,ROG-6107,Business,13.3,QHD OLED,Ryzen 5,8GB,512GB SSD,NVIDIA RTX 4060,macOS,12,1.4,74061,4.3,Student
Lenovo,ROG,ROG-3674,Student,16.0,Retina,Intel i5,8GB,512GB SSD,NVIDIA RTX 4060,Linux,11,1.6,138766,4.7,Developer
Asus,ROG,ROG-3457,Gaming,16.0,Retina,Intel i5,16GB,512GB SSD,NVIDIA RTX 3050,Linux,Ubuntu 22.04,2.0,71239,4.0,Developer
Lenovo,Pavilion,Pavilion-2185,Office,16.0,FHD IPS,Ryzen 5,32GB,256GB SSD,Integrated,Linux,Ventura,1.8,114881,3.7,Office
Asus,MacBook,MacBook-8196,Gaming,14.0,QHD OLED,Apple M2,8GB,1TB SSD,Integrated,Windows,12,1.8,78494,4.6,Student
Apple,ThinkPad,ThinkPad-4648,Business,14.0,FHD IPS,Apple M2,16GB,512GB SSD,NVIDIA RTX 4060,Linux,Ubuntu 22.04,1.8,130008,4.0,Office
Lenovo,ROG,ROG-2133,Student,13.3,FHD TN,Ryzen 5,8GB,512GB SSD,Integrated,Linux,Ubuntu 22.04,1.4,108132,3.9,Student
HP,Pavilion,Pavilion-6552,Business,16.0,Retina,Intel i7,32GB,1TB SSD,NVIDIA RTX 4060,macOS,Ubuntu 22.04,1.4,145047,4.5,Gaming
Lenovo,Pavilion,Pavilion-2440,Gaming,15.6,Retina,Intel i7,8GB,256GB SSD,NVIDIA RTX 4060,macOS,12,1.4,85212,4.7,Office
HP,Inspiron,Inspiron-8877,Developer,15.6,FHD TN,Intel i5,16GB,256GB SSD,Integrated,Windows,Ubuntu 22.04,1.2,62492,4.5,Office
Lenovo,MacBook,MacBook-3079,Student,15.6,Retina,Ryzen 7,32GB,512GB SSD,NVIDIA RTX 4060,Windows,Ubuntu 22.04,2.0,121470,4.2,Developer
Dell,Pavilion,Pavilion-2219,Student,16.0,Retina,Ryzen 5,16GB,256GB SSD,Integrated,macOS,12,1.4,116156,3.9,Gaming
Lenovo,ThinkPad,ThinkPad-8182,Student,13.3,FHD TN,Intel i7,16GB,512GB SSD,NVIDIA RTX 3050,Windows,11,2.0,142331,3.8,Office
HP,MacBook,MacBook-9926,Office,15.6,QHD OLED,Ryzen 7,8GB,1TB SSD,Integrated,macOS,Ventura,2.0,73196,3.9,Student
Apple,Pavilion,Pavilion-3472,Business,15.6,Retina,Ryzen 5,8GB,512GB SSD,NVIDIA RTX 3050,Linux,12,1.8,51897,5.0,Student
Dell,Inspiron,Inspiron-1986,Office,16.0,FHD TN,Apple M2,32GB,256GB SSD,NVIDIA RTX 3050,Linux,11,1.2,93876,4.1,Developer
Asus,Inspiron,Inspiron-7264,Developer,15.6,FHD TN,Apple M2,32GB,512GB SSD,NVIDIA RTX 4060,Windows,11,2.0,65139,4.7,Office
HP,Pavilion,Pavilion-8426,Student,13.3,FHD TN,Apple M2,16GB,512GB SSD,NVIDIA RTX 3050,macOS,12,2.0,144003,3.9,Developer
Asus,Inspiron,Inspiron-6414,Student,16.0,FHD TN,Intel i7,32GB,1TB SSD,NVIDIA RTX 4060,Windows,Ventura,1.4,55556,4.4,Business
Lenovo,MacBook,MacBook-4287,Developer,16.0,Retina,Apple M2,8GB,512GB SSD,NVIDIA RTX 3050,Windows,12,2.0,145041,4.9,Gaming
Asus,MacBook,MacBook-9607,Student,15.6,FHD IPS,Ryzen 7,8GB,256GB SSD,NVIDIA RTX 3050,Linux,Ventura,1.2,115410,4.1,Developer
Asus,ThinkPad,ThinkPad-3152,Student,14.0,QHD OLED,Ryzen 5,8GB,1TB SSD,NVIDIA RTX 4060,Windows,Ubuntu 22.04,1.4,90313,4.9,Office
Asus,ROG,ROG-4943,Student,13.3,QHD OLED,Ryzen 5,32GB,1TB SSD,NVIDIA RTX 4060,Windows,12,1.4,136381,4.3,Student
Lenovo,Pavilion,Pavilion-1454,Student,15.6,QHD OLED,Intel i5,16GB,512GB SSD,Integrated,Linux,11,1.4,55757,3.9,Student
Asus,MacBook,MacBook-5614,Business,15.6,Retina,Ryzen 5,32GB,256GB SSD,NVIDIA RTX 4060,Linux,Ubuntu 22.04,1.6,134951,4.6,Business
Asus,ThinkPad,ThinkPad-2641,Office,14.0,Retina,Ryzen 7,8GB,1TB SSD,NVIDIA RTX 4060,macOS,Ubuntu 22.04,1.2,66430,3.7,Developer
Asus,MacBook,MacBook-1343,Office,13.3,Retina,Ryzen 5,8GB,512GB SSD,NVIDIA RTX 3050,macOS,12,1.8,129169,4.4,Developer
Lenovo,ThinkPad,ThinkPad-9786,Gaming,13.3,Retina,Ryzen 5,32GB,512GB SSD,NVIDIA RTX 4060,Linux,Ventura,1.6,116929,4.3,Gaming
Lenovo,Inspiron,Inspiron-3712,Gaming,13.3,Retina,Intel i7,32GB,1TB SSD,Integrated,Linux,11,1.4,83462,5.0,Student
Apple,MacBook,MacBook-7806,Developer,16.0,FHD TN,Apple M2,8GB,512GB SSD,NVIDIA RTX 3050,macOS,11,1.2,130653,4.1,Business
Lenovo,MacBook,MacBook-8219,Business,14.0,Retina,Ryzen 5,32GB,256GB SSD,Integrated,macOS,12,1.2,96671,4.9,Student
Asus,Inspiron,Inspiron-6036,Office,13.3,QHD OLED,Ryzen 7,16GB,1TB SSD,NVIDIA RTX 3050,Windows,12,1.8,108429,3.7,Office
HP,Inspiron,Inspiron-7549,Office,15.6,FHD IPS,Ryzen 7,32GB,512GB SSD,NVIDIA RTX 4060,Windows,11,2.0,50141,3.6,Office
HP,MacBook,MacBook-8807,Student,14.0,QHD OLED,Intel i7,16GB,1TB SSD,NVIDIA RTX 4060,macOS,12,2.0,146170,4.0,Developer
Dell,Pavilion,Pavilion-2029,Office,15.6,Retina,Ryzen 5,8GB,256GB SSD,Integrated,macOS,11,1.4,79621,4.2,Student
Lenovo,MacBook,MacBook-4944,Developer,14.0,FHD TN,Ryzen 7,8GB,512GB SSD,NVIDIA RTX 4060,macOS,Ventura,1.8,99843,3.7,Business
Apple,MacBook,MacBook-3005,Student,14.0,FHD TN,Intel i5,8GB,1TB SSD,Integrated,macOS,11,1.2,101143,3.6,Developer
Apple,Inspiron,Inspiron-7119,Gaming,14.0,FHD TN,Ryzen 7,32GB,256GB SSD,NVIDIA RTX 4060,Windows,Ubuntu 22.04,1.4,129283,4.7,Business
Asus,Pavilion,Pavilion-8606,Business,14.0,QHD OLED,Ryzen 5,8GB,1TB SSD,NVIDIA RTX 3050,Windows,11,1.4,118968,4.3,Gaming
Asus,ROG,ROG-5527,Gaming,16.0,Retina,Intel i7,16GB,1TB SSD,NVIDIA RTX 3050,Windows,11,1.8,129035,4.9,Gaming
Apple,Pavilion,Pavilion-8648,Developer,13.3,FHD IPS,Ryzen 5,32GB,1TB SSD,Integrated,Windows,12,1.2,61460,3.9,Developer
HP,Inspiron,Inspiron-3787,Developer,13.3,FHD TN,Ryzen 5,32GB,512GB SSD,NVIDIA RTX 3050,Linux,11,1.8,94561,3.8,Business
Apple,Inspiron,Inspiron-4495,Student,14.0,QHD OLED,Intel i7,8GB,1TB SSD,NVIDIA RTX 4060,macOS,12,1.2,113159,3.6,Gaming
Lenovo,Inspiron,Inspiron-6754,Student,15.6,Retina,Apple M2,32GB,256GB SSD,Integrated,Windows,12,1.2,106035,4.8,Gaming
Asus,ROG,ROG-5718,Office,16.0,FHD IPS,Ryzen 5,16GB,1TB SSD,NVIDIA RTX 3050,macOS,12,2.0,80136,4.2,Student
Apple,Inspiron,Inspiron-2741,Business,13.3,FHD TN,Apple M2,16GB,1TB SSD,NVIDIA RTX 3050,Linux,11,1.4,64747,4.5,Office
Lenovo,MacBook,MacBook-1924,Student,16.0,Retina,Ryzen 5,8GB,1TB SSD,NVIDIA RTX 3050,macOS,Ventura,1.6,116326,4.0,Student
Dell,MacBook,MacBook-8868,Student,15.6,FHD IPS,Intel i7,32GB,1TB SSD,NVIDIA RTX 3050,Linux,12,1.4,64056,4.7,Student
HP,MacBook,MacBook-3980,Gaming,16.0,FHD TN,Apple M2,32GB,256GB SSD,NVIDIA RTX 4060,macOS,11,1.8,84458,4.2,Office
Dell,ThinkPad,ThinkPad-9987,Business,15.6,FHD TN,Apple M2,16GB,256GB SSD,NVIDIA RTX 4060,Windows,Ubuntu 22.04,2.0,87389,4.0,Student
Lenovo,ROG,ROG-8580,Student,16.0,FHD IPS,Intel i7,16GB,1TB SSD,Integrated,Linux,11,1.6,137436,4.3,Business
Dell,Pavilion,Pavilion-9517,Student,14.0,FHD TN,Ryzen 7,8GB,1TB SSD,NVIDIA RTX 3050,macOS,12,1.6,88204,4.5,Office
Asus,ROG,ROG-8706,Student,15.6,Retina,Ryzen 7,16GB,256GB SSD,Integrated,Linux,Ubuntu 22.04,2.0,134458,3.9,Gaming
Asus,ThinkPad,ThinkPad-2339,Student,13.3,FHD IPS,Intel i5,32GB,512GB SSD,Integrated,Linux,Ventura,1.6,122255,3.7,Office
Asus,MacBook,MacBook-6554,Gaming,14.0,Retina,Ryzen 7,32GB,512GB SSD,Integrated,macOS,Ubuntu 22.04,2.0,127274,4.4,Office
Dell,Pavilion,Pavilion-5236,Gaming,13.3,QHD OLED,Apple M2,8GB,256GB SSD,NVIDIA RTX 4060,Windows,Ventura,2.0,75288,4.3,Developer
Apple,ROG,ROG-9410,Office,14.0,FHD TN,Ryzen 5,8GB,512GB SSD,NVIDIA RTX 3050,Windows,Ventura,1.4,133570,3.6,Office
Apple,ThinkPad,ThinkPad-1801,Business,14.0,FHD TN,Ryzen 7,32GB,256GB SSD,NVIDIA RTX 3050,Windows,Ventura,1.8,145894,5.0,Office
Dell,Inspiron,Inspiron-9419,Gaming,13.3,QHD OLED,Intel i5,16GB,1TB SSD,NVIDIA RTX 4060,Windows,12,1.6,133257,4.1,Developer
Lenovo,ThinkPad,ThinkPad-2698,Gaming,16.0,FHD IPS,Apple M2,16GB,1TB SSD,NVIDIA RTX 4060,macOS,12,1.8,64402,4.6,Gaming
Dell,MacBook,MacBook-8660,Developer,14.0,QHD OLED,Ryzen 5,32GB,256GB SSD,NVIDIA RTX 3050,macOS,Ubuntu 22.04,1.2,98859,4.8,Developer
Asus,Pavilion,Pavilion-9182,Developer,16.0,FHD IPS,Ryzen 7,32GB,512GB SSD,NVIDIA RTX 3050,Windows,12,1.4,130703,4.1,Gaming
Apple,Inspiron,Inspiron-7087,Business,13.3,FHD TN,Ryzen 7,16GB,1TB SSD,Integrated,Windows,11,1.6,104414,4.9,Developer
HP,MacBook,MacBook-6771,Gaming,15.6,FHD IPS,Intel i7,16GB,1TB SSD,NVIDIA RTX 3050,Linux,Ubuntu 22.04,1.8,51850,3.8,Developer
Dell,ROG,ROG-3615,Gaming,14.0,FHD TN,Intel i5,32GB,256GB SSD,NVIDIA RTX 3050,Windows,Ubuntu 22.04,2.0,132786,3.6,Business
Asus,Pavilion,Pavilion-2190,Student,16.0,FHD IPS,Intel i7,8GB,256GB SSD,NVIDIA RTX 3050,Windows,12,1.8,93926,4.2,Student
Dell,ThinkPad,ThinkPad-6929,Business,14.0,FHD IPS,Intel i7,32GB,256GB SSD,NVIDIA RTX 4060,macOS,Ubuntu 22.04,1.6,118825,5.0,Office
Dell,ThinkPad,ThinkPad-8966,Gaming,13.3,QHD OLED,Ryzen 5,32GB,512GB SSD,NVIDIA RTX 3050,macOS,11,1.6,94236,4.3,Student
Dell,ThinkPad,ThinkPad-7186,Office,16.0,QHD OLED,Intel i5,8GB,1TB SSD,NVIDIA RTX 3050,Windows,11,2.0,79258,3.5,Business
Lenovo,Inspiron,Inspiron-4635,Developer,16.0,FHD TN,Intel i7,32GB,1TB SSD,NVIDIA RTX 4060,macOS,Ventura,1.4,67914,4.8,Student
Asus,MacBook,MacBook-8352,Office,15.6,QHD OLED,Apple M2,8GB,512GB SSD,Integrated,Linux,11,1.4,96982,4.9,Business
Dell,ThinkPad,ThinkPad-3642,Office,15.6,FHD IPS,Ryzen 7,32GB,256GB SSD,NVIDIA RTX 3050,macOS,11,2.0,60455,4.6,Business
Lenovo,Pavilion,Pavilion-1723,Developer,14.0,Retina,Apple M2,32GB,256GB SSD,Integrated,Linux,Ubuntu 22.04,2.0,116853,4.5,Student
Apple,MacBook,MacBook-1277,Business,15.6,QHD OLED,Ryzen 7,16GB,256GB SSD,NVIDIA RTX 3050,macOS,Ubuntu 22.04,2.0,97996,3.9,Student
Apple,ROG,ROG-5299,Business,16.0,QHD OLED,Ryzen 7,8GB,256GB SSD,NVIDIA RTX 4060,Linux,Ubuntu 22.04,1.8,101023,4.1,Student
Lenovo,ThinkPad,ThinkPad-4486,Gaming,13.3,QHD OLED,Ryzen 5,16GB,512GB SSD,Integrated,macOS,Ventura,1.8,125118,3.7,Student
Dell,MacBook,MacBook-1413,Student,15.6,QHD OLED,Intel i7,8GB,512GB SSD,NVIDIA RTX 4060,Linux,Ubuntu 22.04,1.8,145551,3.5,Gaming
Dell,ThinkPad,ThinkPad-1310,Gaming,14.0,QHD OLED,Ryzen 5,8GB,512GB SSD,NVIDIA RTX 4060,Windows,Ubuntu 22.04,2.0,119153,4.9,Office
Apple,ROG,ROG-9329,Developer,16.0,QHD OLED,Intel i7,32GB,512GB SSD,NVIDIA RTX 3050,macOS,12,1.4,148001,3.5,Gaming
Lenovo,ROG,ROG-4054,Office,15.6,FHD IPS,Apple M2,8GB,512GB SSD,NVIDIA RTX 4060,Windows,Ventura,1.8,89053,5.0,Student
Asus,MacBook,MacBook-7587,Business,15.6,Retina,Ryzen 5,16GB,256GB SSD,NVIDIA RTX 4060,Windows,Ubuntu 22.04,1.2,102930,4.8,Office
Lenovo,MacBook,MacBook-2591,Gaming,13.3,QHD OLED,Ryzen 7,8GB,512GB SSD,Integrated,macOS,Ventura,2.0,143562,3.7,Student
Lenovo,ROG,ROG-3304,Developer,16.0,QHD OLED,Intel i7,16GB,512GB SSD,Integrated,Linux,Ubuntu 22.04,2.0,110378,4.4,Gaming
Asus,Pavilion,Pavilion-7423,Gaming,15.6,FHD IPS,Apple M2,16GB,256GB SSD,NVIDIA RTX 3050,macOS,Ubuntu 22.04,1.6,137742,4.9,Gaming
Apple,ROG,ROG-6138,Business,15.6,QHD OLED,Intel i7,8GB,1TB SSD,NVIDIA RTX 4060,Linux,Ubuntu 22.04,1.8,104807,4.2,Office
Lenovo,MacBook,MacBook-4872,Developer,16.0,FHD TN,Intel i7,8GB,256GB SSD,Integrated,Windows,12,1.4,88460,3.9,Office
HP,Inspiron,Inspiron-3045,Gaming,13.3,QHD OLED,Ryzen 7,32GB,512GB SSD,NVIDIA RTX 3050,Windows,Ubuntu 22.04,1.6,108583,5.0,Student
Lenovo,Pavilion,Pavilion-9782,Developer,15.6,FHD TN,Intel i7,32GB,256GB SSD,NVIDIA RTX 3050,Windows,Ventura,1.8,50623,4.2,Office
Asus,ROG,ROG-6435,Business,14.0,FHD IPS,Ryzen 5,16GB,512GB SSD,NVIDIA RTX 4060,Linux,11,1.8,149428,4.7,Business
Asus,MacBook,MacBook-7388,Student,14.0,FHD IPS,Apple M2,32GB,512GB SSD,NVIDIA RTX 3050,Windows,Ubuntu 22.04,1.6,115386,4.5,Student
HP,Inspiron,Inspiron-9541,Developer,16.0,FHD TN,Apple M2,16GB,1TB SSD,NVIDIA RTX 3050,Windows,12,1.4,140891,4.0,Office
Apple,Inspiron,Inspiron-6510,Business,13.3,Retina,Intel i7,32GB,1TB SSD,NVIDIA RTX 3050,Linux,Ubuntu 22.04,2.0,94876,4.5,Office
HP,ThinkPad,ThinkPad-3685,Business,14.0,Retina,Ryzen 7,16GB,1TB SSD,NVIDIA RTX 3050,macOS,12,2.0,94814,3.7,Business
Lenovo,MacBook,MacBook-3883,Student,13.3,FHD IPS,Apple M2,16GB,1TB SSD,NVIDIA RTX 3050,Linux,Ventura,1.6,52793,4.8,Business
Asus,MacBook,MacBook-8408,Gaming,13.3,QHD OLED,Intel i7,16GB,1TB SSD,NVIDIA RTX 3050,Windows,11,1.6,102970,4.6,Developer
Asus,MacBook,MacBook-8036,Developer,13.3,FHD IPS,Intel i7,32GB,256GB SSD,NVIDIA RTX 3050,macOS,11,1.6,105227,3.5,Business
Apple,MacBook,MacBook-5087,Gaming,16.0,QHD OLED,Ryzen 5,8GB,512GB SSD,NVIDIA RTX 3050,Linux,Ubuntu 22.04,2.0,51045,3.6,Student
Apple,Pavilion,Pavilion-4393,Business,14.0,Retina,Ryzen 7,32GB,256GB SSD,Integrated,macOS,12,1.8,116326,4.2,Office
Apple,ThinkPad,ThinkPad-8613,Gaming,15.6,Retina,Intel i7,8GB,1TB SSD,Integrated,macOS,Ubuntu 22.04,1.2,147327,4.2,Office
Asus,Pavilion,Pavilion-1767,Office,15.6,Retina,Ryzen 5,32GB,1TB SSD,Integrated,Windows,Ventura,1.6,109001,4.7,Developer
Lenovo,ROG,ROG-7381,Gaming,14.0,FHD TN,Ryzen 7,32GB,256GB SSD,NVIDIA RTX 4060,Linux,Ventura,1.4,143156,3.7,Gaming
HP,ThinkPad,ThinkPad-4436,Office,15.6,FHD IPS,Apple M2,32GB,1TB SSD,NVIDIA RTX 3050,macOS,12,1.8,132382,4.6,Business
Lenovo,Inspiron,Inspiron-6772,Business,15.6,Retina,Ryzen 5,8GB,1TB SSD,Integrated,Windows,Ubuntu 22.04,2.0,90396,3.8,Student
HP,ROG,ROG-7222,Gaming,14.0,Retina,Apple M2,8GB,256GB SSD,Integrated,Windows,11,1.4,52236,3.8,Business
Lenovo,ROG,ROG-6037,Office,15.6,QHD OLED,Ryzen 7,32GB,256GB SSD,NVIDIA RTX 3050,macOS,12,2.0,111016,4.8,Business
Lenovo,Pavilion,Pavilion-8484,Student,15.6,QHD OLED,Intel i7,8GB,1TB SSD,NVIDIA RTX 4060,macOS,12,1.6,129491,3.6,Gaming
Lenovo,ThinkPad,ThinkPad-3825,Business,14.0,QHD OLED,Ryzen 5,8GB,256GB SSD,Integrated,Linux,12,2.0,124460,4.9,Student
Dell,MacBook,MacBook-5195,Business,15.6,QHD OLED,Intel i7,8GB,512GB SSD,Integrated,Linux,12,2.0,98043,4.4,Business
Lenovo,Inspiron,Inspiron-2032,Office,14.0,QHD OLED,Ryzen 7,8GB,512GB SSD,Integrated,macOS,12,1.6,143258,4.1,Student
Lenovo,ThinkPad,ThinkPad-1541,Office,14.0,FHD TN,Ryzen 7,32GB,1TB SSD,NVIDIA RTX 3050,Windows,Ventura,1.6,91819,4.6,Developer
Dell,ThinkPad,ThinkPad-1074,Office,16.0,QHD OLED,Ryzen 5,8GB,256GB SSD,NVIDIA RTX 4060,macOS,Ventura,2.0,73211,4.8,Office
Dell,ThinkPad,ThinkPad-5255,Developer,14.0,FHD IPS,Ryzen 7,16GB,512GB SSD,NVIDIA RTX 3050,macOS,11,1.6,95102,4.7,Developer
Apple,MacBook,MacBook-8835,Developer,16.0,QHD OLED,Ryzen 5,16GB,256GB SSD,Integrated,Linux,Ubuntu 22.04,1.4,106282,3.9,Developer
Apple,ThinkPad,ThinkPad-7648,Business,14.0,FHD IPS,Intel i5,8GB,1TB SSD,Integrated,Windows,12,1.2,107253,4.3,Office
Dell,Pavilion,Pavilion-7538,Student,16.0,Retina,Ryzen 7,16GB,256GB SSD,Integrated,Linux,11,1.8,116930,4.0,Office
Lenovo,Inspiron,Inspiron-3718,Student,15.6,Retina,Ryzen 5,8GB,256GB SSD,Integrated,Windows,11,1.2,76402,4.1,Student
Dell,ROG,ROG-3402,Office,13.3,FHD TN,Intel i5,32GB,512GB SSD,NVIDIA RTX 4060,macOS,Ubuntu 22.04,1.4,116403,3.8,Student
HP,Inspiron,Inspiron-8255,Developer,16.0,FHD IPS,Apple M2,32GB,512GB SSD,NVIDIA RTX 4060,Linux,Ubuntu 22.04,2.0,69029,4.2,Business
Apple,Inspiron,Inspiron-6246,Office,13.3,QHD OLED,Apple M2,8GB,1TB SSD,NVIDIA RTX 4060,Linux,11,1.8,142984,3.7,Office
Lenovo,Inspiron,Inspiron-8360,Business,13.3,Retina,Intel i7,8GB,256GB SSD,NVIDIA RTX 3050,macOS,11,1.6,51309,4.2,Gaming
Lenovo,MacBook,MacBook-8910,Office,13.3,FHD TN,Ryzen 7,8GB,1TB SSD,NVIDIA RTX 4060,macOS,12,1.2,68205,4.0,Business
Dell,ROG,ROG-6202,Office,15.6,Retina,Apple M2,8GB,256GB SSD,NVIDIA RTX 4060,Windows,12,1.2,79666,4.7,Student
Dell,MacBook,MacBook-4947,Student,14.0,FHD TN,Intel i5,16GB,1TB SSD,NVIDIA RTX 3050,Windows,Ubuntu 22.04,1.2,124895,4.9,Business
Apple,Pavilion,Pavilion-5549,Office,13.3,Retina,Intel i7,16GB,1TB SSD,NVIDIA RTX 4060,macOS,11,1.8,118123,4.7,Office
HP,ThinkPad,ThinkPad-1480,Business,13.3,FHD IPS,Intel i5,8GB,256GB SSD,NVIDIA RTX 4060,Linux,Ventura,1.4,76674,4.2,Gaming
Apple,MacBook,MacBook-1787,Gaming,15.6,Retina,Ryzen 5,32GB,512GB SSD,NVIDIA RTX 3050,Windows,12,1.2,109285,3.8,Gaming
Asus,ThinkPad,ThinkPad-9590,Business,13.3,Retina,Intel i7,16GB,512GB SSD,NVIDIA RTX 3050,Windows,12,1.2,66532,4.2,Gaming
Dell,Inspiron,Inspiron-5277,Developer,13.3,QHD OLED,Ryzen 7,8GB,1TB SSD,NVIDIA RTX 4060,Linux,11,1.8,76637,4.9,Business
Dell,Pavilion,Pavilion-7331,Business,14.0,FHD TN,Apple M2,32GB,256GB SSD,NVIDIA RTX 3050,Linux,11,1.6,116720,4.6,Gaming
HP,Inspiron,Inspiron-9916,Developer,15.6,QHD OLED,Ryzen 7,8GB,256GB SSD,NVIDIA RTX 4060,macOS,12,1.8,146539,3.8,Gaming
Apple,ThinkPad,ThinkPad-1237,Student,14.0,Retina,Intel i7,16GB,1TB SSD,NVIDIA RTX 4060,Windows,Ventura,1.2,117983,4.9,Business
Dell,ROG,ROG-2917,Business,14.0,FHD TN,Ryzen 7,32GB,512GB SSD,NVIDIA RTX 4060,macOS,12,1.2,113588,3.8,Student
Apple,MacBook,MacBook-5280,Gaming,13.3,FHD IPS,Ryzen 7,16GB,512GB SSD,NVIDIA RTX 3050,Windows,11,1.6,135490,4.5,Gaming
Asus,Pavilion,Pavilion-9946,Business,14.0,QHD OLED,Intel i5,8GB,256GB SSD,Integrated,Windows,Ventura,1.2,117401,4.9,Student
Asus,ThinkPad,ThinkPad-5857,Gaming,13.3,FHD TN,Ryzen 5,16GB,256GB SSD,Integrated,Linux,Ventura,1.8,69277,5.0,Student
Lenovo,ThinkPad,ThinkPad-6364,Business,14.0,FHD TN,Intel i5,8GB,1TB SSD,NVIDIA RTX 3050,Linux,12,2.0,114299,5.0,Office
HP,ThinkPad,ThinkPad-9054,Office,14.0,FHD TN,Intel i5,16GB,512GB SSD,NVIDIA RTX 4060,Linux,Ventura,1.6,106001,4.4,Student
Asus,ROG,ROG-6292,Developer,14.0,Retina,Intel i5,8GB,256GB SSD,NVIDIA RTX 4060,macOS,Ventura,1.8,146428,5.0,Student
Asus,ROG,ROG-8040,Student,15.6,Retina,Ryzen 5,8GB,256GB SSD,NVIDIA RTX 4060,macOS,11,1.4,123965,4.6,Business
Asus,Pavilion,Pavilion-2110,Developer,13.3,Retina,Intel i5,16GB,512GB SSD,NVIDIA RTX 3050,macOS,12,1.6,121325,4.9,Student
Asus,MacBook,MacBook-8144,Student,13.3,FHD TN,Intel i7,8GB,512GB SSD,Integrated,Linux,11,1.4,97345,5.0,Developer
Dell,ThinkPad,ThinkPad-6049,Developer,14.0,QHD OLED,Apple M2,8GB,256GB SSD,Integrated,Linux,Ventura,2.0,63401,3.6,Office
Asus,ROG,ROG-5665,Business,13.3,FHD TN,Apple M2,8GB,1TB SSD,NVIDIA RTX 3050,Windows,Ventura,1.2,96568,3.8,Office
Apple,ThinkPad,ThinkPad-7828,Student,16.0,FHD IPS,Ryzen 7,16GB,256GB SSD,NVIDIA RTX 4060,Windows,11,1.4,91305,4.1,Business
Apple,ROG,ROG-1907,Business,15.6,FHD TN,Ryzen 7,16GB,1TB SSD,NVIDIA RTX 4060,macOS,11,2.0,84040,4.0,Office
HP,MacBook,MacBook-9315,Gaming,13.3,QHD OLED,Ryzen 7,32GB,1TB SSD,NVIDIA RTX 3050,Windows,Ventura,1.6,113367,4.9,Gaming
HP,Inspiron,Inspiron-8831,Business,14.0,Retina,Apple M2,16GB,256GB SSD,Integrated,macOS,Ubuntu 22.04,1.4,125319,3.8,Developer
Asus,Pavilion,Pavilion-1204,Student,14.0,QHD OLED,Ryzen 5,16GB,512GB SSD,NVIDIA RTX 4060,Windows,Ubuntu 22.04,1.6,139836,4.9,Student
HP,MacBook,MacBook-7749,Business,16.0,QHD OLED,Intel i5,8GB,256GB SSD,NVIDIA RTX 4060,Linux,Ventura,1.6,111656,4.9,Student
Lenovo,MacBook,MacBook-6010,Gaming,13.3,FHD TN,Intel i7,32GB,1TB SSD,NVIDIA RTX 3050,Linux,11,1.4,126375,3.9,Student
Apple,Pavilion,Pavilion-5542,Gaming,15.6,Retina,Intel i5,8GB,1TB SSD,Integrated,macOS,Ventura,1.8,138689,5.0,Business
Asus,MacBook,MacBook-1533,Office,14.0,FHD TN,Ryzen 7,16GB,1TB SSD,Integrated,Windows,Ventura,2.0,124872,4.6,Student
Apple,ROG,ROG-6878,Student,14.0,FHD IPS,Intel i5,16GB,512GB SSD,NVIDIA RTX 4060,Windows,Ubuntu 22.04,1.8,123173,4.3,Business
Asus,ROG,ROG-1380,Developer,13.3,FHD IPS,Ryzen 5,8GB,1TB SSD,NVIDIA RTX 4060,Windows,Ubuntu 22.04,2.0,141294,4.0,Business
Dell,Inspiron,Inspiron-2334,Office,16.0,Retina,Intel i5,16GB,256GB SSD,NVIDIA RTX 3050,Windows,Ubuntu 22.04,1.6,97282,4.7,Student
HP,Pavilion,Pavilion-7838,Student,14.0,FHD IPS,Ryzen 7,16GB,256GB SSD,NVIDIA RTX 3050,Windows,11,1.8,127485,4.6,Developer
